asset_id;depends_on;relation;note
ROT-HBSPL12160-DXF-SIDE;ROT-HBSPLATE-SRC-DXF;derived_from;"fabrikantsbron aanwezig en gehasht; herkomst geverifieerd op 18 labelposities"
ROT-HBSPL12180-SVG-SIDE;ROT-HBSPLATE-SRC-DXF;derived_from;"fabrikantsbron aanwezig en gehasht; herkomst geverifieerd op 18 labelposities"
ROT-HBSPL12180-DXF-SIDE;ROT-HBSPLATE-SRC-DXF;derived_from;"fabrikantsbron aanwezig en gehasht; herkomst geverifieerd op 18 labelposities"
ROT-HBSPL12200-SVG-SIDE;ROT-HBSPLATE-SRC-DXF;derived_from;"fabrikantsbron aanwezig en gehasht; herkomst geverifieerd op 18 labelposities"
ROT-HBSPL12200-DXF-SIDE;ROT-HBSPLATE-SRC-DXF;derived_from;"fabrikantsbron aanwezig en gehasht; herkomst geverifieerd op 18 labelposities"
ROT-HBSPL860-RFA-SIDE;ROT-HBSPL860-DXF-SIDE;derived_from;"Revit family gegenereerd uit het DXF-extract; geometrie vereenvoudigd tot boven ShortCurveTolerance (0,7804 mm), afwijking < 0,4 mm"
ROT-HBSPL880-RFA-SIDE;ROT-HBSPL880-DXF-SIDE;derived_from;"Revit family gegenereerd uit het DXF-extract; geometrie vereenvoudigd tot boven ShortCurveTolerance (0,7804 mm), afwijking < 0,4 mm"
ROT-HBSPL8100-RFA-SIDE;ROT-HBSPL8100-DXF-SIDE;derived_from;"Revit family gegenereerd uit het DXF-extract; geometrie vereenvoudigd tot boven ShortCurveTolerance (0,7804 mm), afwijking < 0,4 mm"
ROT-HBSPL8120-RFA-SIDE;ROT-HBSPL8120-DXF-SIDE;derived_from;"Revit family gegenereerd uit het DXF-extract; geometrie vereenvoudigd tot boven ShortCurveTolerance (0,7804 mm), afwijking < 0,4 mm"
ROT-HBSPL8140-RFA-SIDE;ROT-HBSPL8140-DXF-SIDE;derived_from;"Revit family gegenereerd uit het DXF-extract; geometrie vereenvoudigd tot boven ShortCurveTolerance (0,7804 mm), afwijking < 0,4 mm"
ROT-HBSPL8160-RFA-SIDE;ROT-HBSPL8160-DXF-SIDE;derived_from;"Revit family gegenereerd uit het DXF-extract; geometrie vereenvoudigd tot boven ShortCurveTolerance (0,7804 mm), afwijking < 0,4 mm"
ROT-HBSPL1080-RFA-SIDE;ROT-HBSPL1080-DXF-SIDE;derived_from;"Revit family gegenereerd uit het DXF-extract; geometrie vereenvoudigd tot boven ShortCurveTolerance (0,7804 mm), afwijking < 0,4 mm"
ROT-HBSPL10100-RFA-SIDE;ROT-HBSPL10100-DXF-SIDE;derived_from;"Revit family gegenereerd uit het DXF-extract; geometrie vereenvoudigd tot boven ShortCurveTolerance (0,7804 mm), afwijking < 0,4 mm"
ROT-HBSPL10120-RFA-SIDE;ROT-HBSPL10120-DXF-SIDE;derived_from;"Revit family gegenereerd uit het DXF-extract; geometrie vereenvoudigd tot boven ShortCurveTolerance (0,7804 mm), afwijking < 0,4 mm"
ROT-HBSPL10140-RFA-SIDE;ROT-HBSPL10140-DXF-SIDE;derived_from;"Revit family gegenereerd uit het DXF-extract; geometrie vereenvoudigd tot boven ShortCurveTolerance (0,7804 mm), afwijking < 0,4 mm"
ROT-HBSPL10160-RFA-SIDE;ROT-HBSPL10160-DXF-SIDE;derived_from;"Revit family gegenereerd uit het DXF-extract; geometrie vereenvoudigd tot boven ShortCurveTolerance (0,7804 mm), afwijking < 0,4 mm"
ROT-HBSPL10180-RFA-SIDE;ROT-HBSPL10180-DXF-SIDE;derived_from;"Revit family gegenereerd uit het DXF-extract; geometrie vereenvoudigd tot boven ShortCurveTolerance (0,7804 mm), afwijking < 0,4 mm"
ROT-HBSPL12100-RFA-SIDE;ROT-HBSPL12100-DXF-SIDE;derived_from;"Revit family gegenereerd uit het DXF-extract; geometrie vereenvoudigd tot boven ShortCurveTolerance (0,7804 mm), afwijking < 0,4 mm"
ROT-HBSPL12120-RFA-SIDE;ROT-HBSPL12120-DXF-SIDE;derived_from;"Revit family gegenereerd uit het DXF-extract; geometrie vereenvoudigd tot boven ShortCurveTolerance (0,7804 mm), afwijking < 0,4 mm"
ROT-HBSPL12140-RFA-SIDE;ROT-HBSPL12140-DXF-SIDE;derived_from;"Revit family gegenereerd uit het DXF-extract; geometrie vereenvoudigd tot boven ShortCurveTolerance (0,7804 mm), afwijking < 0,4 mm"
ROT-HBSPL12160-RFA-SIDE;ROT-HBSPL12160-DXF-SIDE;derived_from;"Revit family gegenereerd uit het DXF-extract; geometrie vereenvoudigd tot boven ShortCurveTolerance (0,7804 mm), afwijking < 0,4 mm"
ROT-HBSPL12180-RFA-SIDE;ROT-HBSPL12180-DXF-SIDE;derived_from;"Revit family gegenereerd uit het DXF-extract; geometrie vereenvoudigd tot boven ShortCurveTolerance (0,7804 mm), afwijking < 0,4 mm"
ROT-HBSPL12200-RFA-SIDE;ROT-HBSPL12200-DXF-SIDE;derived_from;"Revit family gegenereerd uit het DXF-extract; geometrie vereenvoudigd tot boven ShortCurveTolerance (0,7804 mm), afwijking < 0,4 mm"
ROT-HBSPLATE-RFA-FAMILY;ROT-HBSPL860-RFA-SIDE;nested_family;genest in de verzamelfamilie, zichtbaar geschakeld per type
ROT-HBSPLATE-RFA-FAMILY;ROT-HBSPL880-RFA-SIDE;nested_family;genest in de verzamelfamilie, zichtbaar geschakeld per type
ROT-HBSPLATE-RFA-FAMILY;ROT-HBSPL8100-RFA-SIDE;nested_family;genest in de verzamelfamilie, zichtbaar geschakeld per type
ROT-HBSPLATE-RFA-FAMILY;ROT-HBSPL8120-RFA-SIDE;nested_family;genest in de verzamelfamilie, zichtbaar geschakeld per type
ROT-HBSPLATE-RFA-FAMILY;ROT-HBSPL8140-RFA-SIDE;nested_family;genest in de verzamelfamilie, zichtbaar geschakeld per type
ROT-HBSPLATE-RFA-FAMILY;ROT-HBSPL8160-RFA-SIDE;nested_family;genest in de verzamelfamilie, zichtbaar geschakeld per type
ROT-HBSPLATE-RFA-FAMILY;ROT-HBSPL1080-RFA-SIDE;nested_family;genest in de verzamelfamilie, zichtbaar geschakeld per type
ROT-HBSPLATE-RFA-FAMILY;ROT-HBSPL10100-RFA-SIDE;nested_family;genest in de verzamelfamilie, zichtbaar geschakeld per type
ROT-HBSPLATE-RFA-FAMILY;ROT-HBSPL10120-RFA-SIDE;nested_family;genest in de verzamelfamilie, zichtbaar geschakeld per type
ROT-HBSPLATE-RFA-FAMILY;ROT-HBSPL10140-RFA-SIDE;nested_family;genest in de verzamelfamilie, zichtbaar geschakeld per type
ROT-HBSPLATE-RFA-FAMILY;ROT-HBSPL10160-RFA-SIDE;nested_family;genest in de verzamelfamilie, zichtbaar geschakeld per type
ROT-HBSPLATE-RFA-FAMILY;ROT-HBSPL10180-RFA-SIDE;nested_family;genest in de verzamelfamilie, zichtbaar geschakeld per type
ROT-HBSPLATE-RFA-FAMILY;ROT-HBSPL12100-RFA-SIDE;nested_family;genest in de verzamelfamilie, zichtbaar geschakeld per type
ROT-HBSPLATE-RFA-FAMILY;ROT-HBSPL12120-RFA-SIDE;nested_family;genest in de verzamelfamilie, zichtbaar geschakeld per type
ROT-HBSPLATE-RFA-FAMILY;ROT-HBSPL12140-RFA-SIDE;nested_family;genest in de verzamelfamilie, zichtbaar geschakeld per type
ROT-HBSPLATE-RFA-FAMILY;ROT-HBSPL12160-RFA-SIDE;nested_family;genest in de verzamelfamilie, zichtbaar geschakeld per type
ROT-HBSPLATE-RFA-FAMILY;ROT-HBSPL12180-RFA-SIDE;nested_family;genest in de verzamelfamilie, zichtbaar geschakeld per type
ROT-HBSPLATE-RFA-FAMILY;ROT-HBSPL12200-RFA-SIDE;nested_family;genest in de verzamelfamilie, zichtbaar geschakeld per type
ROT-HEAD8-DXF-TOP;ROT-HBSPLATE-SRC-DXF;derived_from;kopaanzicht, geldt voor alle producten met deze diameter
ROT-HEAD8-SVG-TOP;ROT-HBSPLATE-SRC-DXF;derived_from;kopaanzicht, geldt voor alle producten met deze diameter
ROT-HEAD8-RFA-TOP;ROT-HEAD8-DXF-TOP;derived_from;kopaanzicht, geldt voor alle producten met deze diameter
ROT-HBSPLATE-RFA-FAMILY;ROT-HEAD8-RFA-TOP;nested_family;kopaanzicht genest in de verzamelfamilie, type 'kop D8'
ROT-HEAD10-DXF-TOP;ROT-HBSPLATE-SRC-DXF;derived_from;kopaanzicht, geldt voor alle producten met deze diameter
ROT-HEAD10-SVG-TOP;ROT-HBSPLATE-SRC-DXF;derived_from;kopaanzicht, geldt voor alle producten met deze diameter
ROT-HEAD10-RFA-TOP;ROT-HEAD10-DXF-TOP;derived_from;kopaanzicht, geldt voor alle producten met deze diameter
ROT-HBSPLATE-RFA-FAMILY;ROT-HEAD10-RFA-TOP;nested_family;kopaanzicht genest in de verzamelfamilie, type 'kop D10'
ROT-HEAD12-DXF-TOP;ROT-HBSPLATE-SRC-DXF;derived_from;kopaanzicht, geldt voor alle producten met deze diameter
ROT-HEAD12-SVG-TOP;ROT-HBSPLATE-SRC-DXF;derived_from;kopaanzicht, geldt voor alle producten met deze diameter
ROT-HEAD12-RFA-TOP;ROT-HEAD12-DXF-TOP;derived_from;kopaanzicht, geldt voor alle producten met deze diameter
ROT-HBSPLATE-RFA-FAMILY;ROT-HEAD12-RFA-TOP;nested_family;kopaanzicht genest in de verzamelfamilie, type 'kop D12'
